Time Stamp [ms],Unnamed: 0,Sensor 1,Sensor 2,Sensor 3,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Acceleration Magnitude (m/s^2),Velocity Magnitude (m/s),Displacement Position Magnitude (m),Event?
0,0,167,352,214,0.61037763145259,-5.2980009245249,6.4125076220820745,-0.1483156033314401,-0.022247340499716,-0.0033371010749573,False
150,1,184,299,196,0.6128698943635033,-5.25013164572626,6.3989164193611305,-0.1889406955473465,-0.0505884448318179,-0.01092536779973,False
300,2,185,287,192,0.6180014615444746,-5.154617800450692,6.371992137719052,-0.2695350825571907,-0.0910187072153966,-0.0245781738820395,False
450,3,167,268,190,0.6260000942033397,-5.012016487558661,6.33220776861381,-0.3887362470565474,-0.1493291442738787,-0.0469775455231213,False
600,4,167,267,206,0.6373636470703683,-4.82317394145476,6.280328743760033,-0.5443854637727279,-0.2309869638397879,-0.0816255900990895,False
750,5,166,282,208,0.6527111195714115,-4.589386478992983,6.217413836650365,-0.7333733644402223,-0.3409929685058212,-0.1327745353749627,False
900,6,166,269,191,0.6726023717016271,-4.312366044184709,6.144700334887016,-0.9516857786615524,-0.4837458353050541,-0.2053364106707208,False
1050,7,167,267,190,0.6978112541174067,-3.9942658842173615,6.06392380060186,-1.1940027792017265,-0.6628462521853131,-0.3047633484985178,False
1200,8,167,283,192,0.728984535291879,-3.637998076779548,5.976956715289869,-1.4537313941745973,-0.8809059613115027,-0.4368992426952432,False
1350,9,185,272,206,0.7668266602010113,-3.246925306784224,5.885975331854366,-1.7229359218409366,-1.139346349587643,-0.6078011951333897,False
1500,10,185,285,192,0.8119974263248793,-2.8251078848139484,5.793456800325853,-1.9921613379676224,-1.4381705502827864,-0.8235267776758076,False
1650,11,167,272,190,0.864954396942579,-2.377279667374681,5.702046092336094,-2.250653751677733,-1.7757686130344463,-1.0898920696309746,False
1800,12,167,271,206,0.926065751858488,-1.9086812448628545,5.614572055306739,-2.486670591363961,-2.1487692017390403,-1.412207449891831,False
1950,13,185,287,208,0.995464766283306,-1.4251228514564929,5.533891476429607,-2.688170141142354,-2.5519947229103934,-1.7950066583283897,False
2100,14,186,274,191,1.0730773792375072,-0.9327487164476064,5.462907278099412,-2.84377922669933,-2.978561606915293,-2.241790899365684,False
2250,15,186,288,193,1.1585508565529128,-0.4379654328554307,5.40434161038306,-2.9442237567599685,-3.420195170429289,-2.754820174930077,False
2400,16,168,275,208,1.2512558162862002,0.052780256125698,5.360700196230074,-2.983630843403348,-3.867739796939791,-3.3349811444710458,False
2550,17,166,286,195,1.3502653416225667,0.5331400508133444,5.3342267932637615,-2.9604376775276195,-4.311805448568934,-3.9817519617563857,True
2700,18,166,289,209,1.454366092026248,0.9971033982896248,5.326571969748727,-2.87781569542269,-4.743477802882337,-4.6932736321887365,True
2850,19,167,274,207,1.561953062880857,1.4391769034505812,5.338932207624365,-2.7427980981640614,-5.154897517606946,-5.466508259829778,True
3000,20,185,288,209,1.6713341579495764,1.8544700838691253,5.371921764311561,-2.564999063177736,-5.539647377083607,-6.297455366392319,True
3150,21,186,291,193,1.780487320766702,2.238887757552656,5.425603038193942,-2.3551689087441074,-5.8929227133952224,-7.181393773401603,True
3300,22,167,290,193,1.8871529879703035,2.589260063587103,5.499349121228502,-2.124051754993732,-6.211530476644282,-8.113123344898245,True
3450,23,185,276,189,1.9889253610603168,2.903331901921532,5.591899726738588,-1.8815216028995805,-6.493758717079219,-9.087187152460128,True
3600,24,186,290,207,2.083269877185625,3.1798319383894054,5.701461755292619,-1.636085494949942,-6.73917154132171,-10.098062883658384,True
3750,25,186,292,209,2.1676375317411987,3.418401221042845,5.825746358164637,-1.394775418724123,-6.9483878541303286,-11.140321061777934,True
3900,26,167,291,209,2.2393830611052823,3.6193290165077214,5.9621356094605815,-1.163280104540462,-7.122879869811398,-12.208753042249644,True
4050,27,185,292,210,2.29596412444984,3.783893035672192,6.107642465594087,-0.9459590635448922,-7.264773729343132,-13.298469101651111,True
4200,28,186,293,193,2.334904288707657,3.913893052419618,6.259160174129255,-0.7461049109821181,-7.37668946599045,-14.40497252154968,True
4350,29,167,291,208,2.3538833314867444,4.011584498052836,6.413541491661616,-0.5661085411994744,-7.46160574717037,-15.524213383625236,True
4500,30,167,291,211,2.350766975231698,4.079504369175834,6.567773556029775,-0.4075811373704372,-7.522742917775936,-16.652624821291628,True
